order_id,user_id,product_id,quantity,price,order_date
1,26,9,1,193.16,2025-08-03
2,46,11,1,85.51,2025-05-26
3,26,15,1,269.4,2024-05-22
4,16,18,1,343.88,2025-08-21
5,28,19,1,118.38,2024-08-12
6,9,17,1,138.62,2024-02-18
7,8,5,1,290.79,2025-03-08
8,39,3,1,44.01,2025-04-24
9,34,9,4,193.16,2024-01-12
10,44,4,1,415.56,2025-07-03
11,49,9,2,193.16,2024-12-14
12,8,10,1,319.66,2025-04-09
13,1,9,4,193.16,2024-07-01
14,33,4,2,415.56,2024-11-01
15,41,17,1,138.62,2024-06-05
16,24,6,1,27.68,2025-06-27
17,1,20,1,403.5,2024-01-20
18,8,12,2,108.71,2024-11-10
19,16,2,1,270.43,2025-08-03
20,6,3,2,44.01,2024-03-11
21,49,18,2,343.88,2024-05-11
22,43,16,3,85.88,2024-06-18
23,17,17,2,138.62,2025-03-09
24,14,18,2,343.88,2024-07-24
25,46,10,1,319.66,2025-01-17
26,29,17,1,138.62,2024-09-10
27,15,3,1,44.01,2025-07-21
28,15,19,1,118.38,2024-03-13
29,46,2,1,270.43,2024-02-02
30,22,3,1,44.01,2024-10-12
31,43,16,1,85.88,2024-05-15
32,47,19,1,118.38,2024-09-05
33,31,14,1,306.52,2024-04-09
34,43,14,1,306.52,2025-02-24
35,30,2,1,270.43,2024-04-10
36,4,13,2,352.4,2024-04-21
37,16,7,1,387.67,2025-04-04
38,9,14,1,306.52,2025-04-18
39,16,3,1,44.01,2025-07-17
40,7,2,1,270.43,2025-07-07
41,1,3,3,44.01,2024-08-30
42,11,14,1,306.52,2024-08-06
43,26,2,1,270.43,2024-01-03
44,25,9,3,193.16,2025-04-10
45,19,14,1,306.52,2025-07-23
46,43,16,1,85.88,2024-10-30
47,14,2,1,270.43,2025-07-09
48,4,11,1,85.51,2025-08-21
49,31,17,3,138.62,2025-06-27
50,11,2,3,270.43,2024-03-23
51,12,3,1,44.01,2024-08-28
